id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 14',sux:garan[bunch]N sux:šennur[plum]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 15',sux:šuguru[~dates]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 1',sux:uhin[date]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 2',sux:uhin[date]N sux:dug[speak]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 3',sux:uhin[date]N sux:udtena[evening]N sux:dug[speak]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 4',sux:uhin[date]N sux:bar.UD[~dates]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 5',sux:uhin[date]N sux:sissig[green]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 6',sux:peš[thick]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 7',sux:peš[thick]V/i sux:murgu[shoulder]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 8',sux:pešbandazi[offshoot]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 9',sux:ukuš[cucumber]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 10',sux:ukuš[cucumber]N sux:kud[sweet]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 11',sux:ukuš[cucumber]N sux:absin[furrow]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 12',sux:ukuš[cucumber]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 13',sux:ukuš[cucumber]N sux:dug[good]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 14',sux:ukuš[cucumber]N sux:dar[split]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 15',sux:ukuš[cucumber]N sux:imsaŋ[tuft]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 16',sux:ukuš[cucumber]N sux:liligi[plant]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 17',sux:ukuš[cucumber]N sux:aŋ[measure]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r v 18',sux:naŋa[potash]N
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 1,sux:dida[wort]N
